0	1	2	3	4	5	6	7
70	38	17	10	9	3	2	1


0	1	2	3	4	5	6	7	8	9
56	104	80	62	42	27	9	9	5	3
10	11	12	13	14	15	16	17	18	19
2	0	0	0	0	0	0	0	0	1


0	1	2	3	4	5
213	128	37	18	3	1


0	1	2	3	4	5	6	7	8
296	74	26	8	4	4	1	0	1


0	1	2	3	4	5	ò6
11	37	64	55	37	24	12


1	2	3	4	5	6	ò7
359	146	57	41	26	17	27


0	1	2	3	4	5	6
11	17	31	24	29	18	19
7	8	9	10	11	ò12	
16	13	17	6	8	31	


0	1	2	3	4	5	6	7	8	9
26	21	23	14	11	4	5	4	0	1


0	1	2	3	4	5	6	7	8	9
0	2	4	3	5	8	16	13	12	13
10	11	12	13	14	15	16	17	18	19
15	15	9	9	7	4	4	6	2	0
20	21								
2	1								


0	1	2	3	4	5	6	7	8	9
32	28	25	34	13	14	17	5	6	1
10	11	12	13	14	15	16	17	18	
9	0	0	2	1	0	0	1	1	


0	1	2	3	4	5	6	7	8	9
39	24	18	21	15	15	6	8	6	2
10	11	12	13	14	15				
1	2	3	3	0	1				


0	1	2	3	4	5	6	7	8	9
28	28	14	11	8	11	2	3	3	3
10	11	12	13	14	15	16	17		
3	2	0	1	2	1	0	2		


0	1	2	3	4	5	6	7	8	9
160	19	11	6	5	4	4	3	2	2
10	11	12	13	14	15	16	17	18	19
0	0	1	0	0	1	0	0	1	1
20									
6									


0	1	2	3	4	5	6	7	8	9	10
19	5	6	9	5	20	14	8	4	3	2


0	612
1	106
2	50
3	29
4	33
5	20
6	14
7	12
8	18
9	11
10	11
12	10
13	8
14	6
15	3
16	6
17	7
18	4
19	7
20	7
21	3
22-23	8
24-25	7
26-27	10
28-29	6
30-32	2
33-35	7
36-38	9
39-41	5
42-45	5
46-49	7
ò 50	27
