1	A	A	E	A	A	A	A	B
2	A	E	A	A	A	D	B	B
3	B	B	E	A	A	C	A	A
4	A	E	B	A	A	C	B	A
5	B	C	C	A	A	B	A	A
6	B	A	C	A	A	C	A	C
7	B	A	B	B	B	B	A	A
8	A	B	A	E	B	B	B	A
9	B	A	C	A	B	B	A	B
10	B	A	B	B	B	C	A	A
11	B	B	A	A	B	C	A	B
12	C	B	B	A	A	B	A	B
13	B	A	E	C	B	B	A	A
14	B	E	A	B	C	A	A	B
15	B	A	B	A	B	A	C	C
16	A	B	B	B	B	A	B	B
17	B	B	B	A	C	B	A	B
18	B	A	B	B	B	C	A	B
19	B	E	B	A	B	B	C	A
20	B	C	B	E	A	B	A	B
21	B	E	B	B	B	A	A	C
22	B	E	B	B	B	A	A	C
23	B	B	C	C	B	A	A	B
24	A	C	B	A	B	C	B	B
25	B	B	C	A	B	B	A	C
26	B	A	B	C	B	A	C	B
27	C	A	B	B	C	B	A	B
28	B	A	C	A	C	E	B	B
29	B	C	B	C	B	D	A	A
30	C	A	B	C	D	B	A	B
