<1	11.42	0.01	0.05	0.11
1-50	5.95	0.03	0.07	0.22
51-100	6.34	0.05	0.07	0.25
101-150	9.14	0.07	0.22	0.53
151-200	8.30	0.07	0.17	0.57
201-250	8.43	0.11	0.25	0.72
251-300	9.48	0.18	0.51	1.08
301-350	8.06	0.18	0.53	1.29
351-400	6.99	0.29	0.61	1.52
401-450	5.91	0.38	0.73	1.80
451-500	4.79	0.52	0.82	2.12
501-550	3.84	0.59	0.98	2.27
551-600	3.06	0.62	1.17	2.62
601-650	2.40	0.85	1.33	3.28
651-700	1.75	1.16	1.47	3.37
701-750	1.33	1.64	1.51	4.10
751-800	0.92	1.85	2.06	4.48
801-850	0.65	2.20	2.86	5.01
851-900	0.44	2.76	3.60	6.15
901-950	0.30	2.40	3.77	6.86
951-1000	0.20	3.80	5.12	7.02
 >1000	0.30	6.35	5.82	9.24
