20-9	1	3	4	6	7
30-9	10	20	28	31	40
40-9	70	115	195	289	281
50-9	247	543	885	1300	1418
60-9	395	1057	1992	2780	3769
70-9	209	790	2001	3017	4354
80-9	60	231	673	1453	2270

20-9	4	2	2	6	7
30-9	6	9	14	21	28
40-9	28	32	89	154	241
50-9	52	75	189	512	799
60-9	69	118	223	706	1764
70-9	68	142	289	587	1832
80-9	32	73	151	309	868

20-9	1537781	1380360	1555934	2322128	2769374
30-9	1406807	1615355	1632000	1863489	2343684
40-9	1258708	1493910	1800315	1727315	1800233
50-9	1143763	1232189	1514848	1789483	1660060
60-9	770224	980496	1095932	1336181	1561113
70-9	437017	567892	723242	756609	941025
80-9	145147	207148	273417	345493	389562

20-9	1562465	1411502	1618906	2412148	2757255
30-9	1458565	1704171	1699896	1935928	2439026
40-9	1288044	1536560	1879937	1813764	1906093
50-9	1108337	1256742	1559464	1895399	1769078
60-9	769207	995569	1184060	1464623	1735186
70-9	487210	641265	865618	1004712	1232792
80-9	183561	273824	383557	555759	709808
