1900	1.90	3.30	7.19	14.43
1904	1.80	3.51	7.34	14.33
1908	1.90	3.71	7.48	14.92
1912	1.93	3.95	7.60	14.76
1920	1.94	4.09	7.15	14.50
1924	1.98	3.95	7.45	15.53
1928	1.94	4.20	7.74	15.21
1932	1.97	4.31	7.64	15.72
1936	2.03	4.35	8.06	16.00
1948	1.98	4.30	7.82	15.40
1952	2.04	4.55	7.57	16.22
1956	2.11	4.56	7.83	16.34
1960	2.16	4.70	8.12	16.81
1964	2.18	5.10	8.07	16.85
1968	2.24	5.40	8.90	17.39
1972	2.23	5.50	8.24	17.35
1976	2.25	5.50	8.34	17.29
1980	2.36	5.78	8.54	17.35
1984	2.35	5.75	8.54	17.56
1988	2.38	5.90	8.72	17.61
