2.10.02	2.15.34	2.29.39	2.43.43
2.10.07	2.15.46	2.29.59	2.44.33
2.10.08	2.15.48	2.31.33	2.44.39
2.10.10	2.16.26	3.34.02	2.44 47
2.10.36	2.16.28	2.34.29	2.47.12
2.10.49	2.16.31	2.34.38	2.47.30
2.10.55	2.16.36	2.34.39	2.47.36
2.11.25	2.16.42	2.35.21	2.47.41
2.11.28	2.16.48	2.37.21	2.47.48
2.12.02	2.17.07	2.37.40	2.48.17
2.12.09	2.17.10	2.37.52	2.48.32
2.12.29	2.13.22	2.39.06	2.49.46
2.12.45	2.17.34	2.39.22	2.50.10
2.13.06	2.18.21	2.40.00	2.50.52
2.13.14	2.18.25	2.40.09	2.51.29
2.13.22	2.18.39	2.40.26	2.51.44
2.13.33	2.18.47	2.40.39	2.52.45
2.14.11	2.18.53	2.40.40	2.54.03
2.14.22	2.19.19	2.40.47	2.54.29
2.14.23	2.19.22	2.41.15	2.54.33
2.14.25	2.19.25	2.41.18	2.54.38
2.14.46	2.19.48	2.41.35	2.55.00
2.14.49	2.19.49	2.42.10	2.55.56
2.14.56	2.20.05	2.42.25	2.56.46
2.15.31	2.20.08	2.43.14	2.56.46
