53.  Extinction of marine genera


1 A	265	22
2 K	258	23
3 G	253	61
4 D	248	60
5 S	243	45
6 A	238	29
7 L	231	23
8 C	225	40
9 N	219	28
10 R	213	46
11 H	201	7
12 S	200	14
13 P	194	26
14 T	188	21
15 A	181	7
16 B	175	22
17 B	169	16
18 C	163	19
19 O	156	18
20 K	150	15
21 T	144	30
22 B	138	7
23 V	131	14
24 H	125	10
25 B	119	11
26 A	113	18
27 A1	108	7
28 A2	105	9
29 A3	98	11
30 C	91	26
31 T	88	13
32 C	87	8
33 S	83	11
34 C	73	13
35 M	65	48
36 D	60	9
37 T	55	6
38 E1	50	7
39 E2	42	13
40 E3	38	16
41 O1	33	6
42 O2	25	5
43 M1	21	4
44 M1	16	3
45 M2	11	11
46 M3	5	6
47 P	2	7
48 R	0	2
