1964	63	62	61	60	59	58	57	56	55	54	53	52	51	50	49	48	47	46	45
22	15	19	29	25	23	23	29	17	22	22	24	23	25	23	22	23	15	23	19
19	11	14	24	24	18	16	23	14	16	18	18	14	8	21	19	22	12	15	7
23	20	24	26	25	25	21	27	17	23	21	25	24	25	22	31	22	16	25	18


1944	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25
27	28	18	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
25	30	21	23	17	24	29	29	25	29	24	28	27	29	29	24	29	28	29	31


1924	23	22	21	20	19	18	17	16
30	31	28	25	27	26	23	21	28
