1-	1	50.8	8.6	190	205	12.2
	2				275	22.3
	3				345	34.7
	4				407	45.7
2-	1	41.3	1.8	267	235	2.8
	2				275	6.4
	3				358	16.1
	4				416	27.8
3-	1	40.8	3.5	210	218	8.0
	2				273	13.1
	3				347	26.6
4-	1	40.3	4.8	231	307	14.4
	2				367	26.8
	3				395	34.9
5-	1	40.0	6.1	217	212	7.4
	2				272	18.2
	3				340	30.4
6-	1	38.4	6.1	220	235	6.9
	2				300	15.2
	3				365	26.0
	4				410	33.6
7-	1	38.1	1.2	274	285	5.0
	2				365	17.6
	3				444	32.1
8-	1	32.2	5.2	236	267	10.0
	2				360	24.8
	3				402	31.7
9-	1	32.2	2.4	284	351	14.0
	2				424	23.2
10-	1	31.8	0.2	316	365	8.5
	2				379	14.7
	3				428	18.0
