5	5/5	5/5	4/4	5/5	5/5	5/5
7	6/7	5/6	6/6	5/5	4/4	4/5
11	11/11	7/11	7/7	11/11	5/10	6/9
6	6/6	4/6	6/6	6/6	5/6	4/6
14	12/13	9/13	12/12	9/12	4/11	7/13
20	12/19	16/18	20/20	19/20	10/19	17/17
3	1/1	2/3	3/3	0/2	0/2	3/3
14	14/14	13/13	13/13	12/14	2/13	13/14
8	8/8	8/8	8/8	7/8	5/7	7/8
2	0/2	2/2	2/2	1/2	0/2	2/2
5	5/5	5/5	4/4	2/4	0/5	4/4
10	3/10	7/8	5/8	2/10	0/10	7/8
12	1/12	12/12	8/10	6/11	0/11	11/11
6	1/6	6/6	4/6	3/6	0/6	6/6
15	7/15	15/15	13/14	6/15	2/15	15/15
8	1/8	8/8	5/8	1/8	0/8	7/7
15	4/15	15/15	8/15	4/15	0/15	14/14
5	2/5	3/5	2/5	2/5	3/5	3/5
3	0/3	3/3	1/3	0/3	0/3	3/3
7	0/7	6/6	1/7	1/7	1/7	7/7
5	1/5	5/5	4/5	0/5	0/5	5/5
36	2/33	34/35	3/34	0/36	0/33	20/35
19	0/18	19/19	5/19	2/19	0/18	18/19
8	0/7	6/7	2/7	0/7	0/7	6/7
8	0/8	8/8	0/8	0/8	0/8	8/8
5	0/5	5/5	0/5	0/5	0/5	4/4
3	2/3	3/3	3/3	0/3	0/3	3/3
