4.4	2.42	4.45	5.24	3.19	3.90	3.26	3.07	
4.8	4.48	3.18						
5.4	3.36	3.61	3.71	3.57	3.33	2.72	3.64	2.61
	3.89	3.30	2.62	3.10				
5.8	4.03							
6.4	3.36	3.19	3.32	2.78	3.38	3.07	3.22	3.05
	3.79	3.15	2.69					
7.4	3.92	3.07	2.54	3.82	3.10	3.56	2.60	3.56
7.8	3.80	3.49						
8.4	3.25	1.84	2.41	2.86	2.88	2.35	2.94	2.99
	2.76	2.40	2.67	2.97 	2.61			
9.4	1.89	1.80	2.62	1.92	3.75	4.60	2.31	2.26
	3.48	2.86	2.38					
9.8	2.82							
10.4	1.09	2.69	2.48	2.72				
11.4	2.10							
12.4	2.73							
12.8	1.71							
13.4	2.14	2.76						
14.4	1.57							
