1900	10.80	22.20	49.40	121.40	25
1904	11.00	21.60	49.20	116.00	455
1908	10.80	22.60	50.00	112.80	8
1912	10.80	21.70	48.20	111.90	46
1920	10.80	22.00	49.60	113.40	3
1924	10.60	21.60	47.60	112.40	25
1928	10.80	21.80	47.80	111.80	8
1932	10.30	21.20	46.20	109.80	340
1936	10.30	20.70	46.50	112.90	115
1948	10.30	21.10	46.20	109.20	8
1952	10.40	20.70	45.90	109.20	25
1956	10.50	20.60	46.70	107.70	3
1960	10.20	20.50	44.90	106.30	66
1964	10.00	20.30	45.10	105.10	45
1968	9.90	19.80	43.80	104.30	7349
1972	10.14	20.00	44.66	105.90	1699
1976	10.06	20.23	44.26	103.50	104
