3	2676	7843	16185	35338	53443
33	3098	7922	16229	36799	54433
146	3278	8738	16358	37642	55381
227	3288	10089	17168	37654	56463
342	4434	10237	17458	37915	56485
351	5034	10258	17758	39715	56560
353	5049	10491	18287	40580	57042
444	5085	10625	18568	42015	62551
556	5089	10982	18728	42045	62651
571	5089	11175	19556	42188	62661
709	5097	11411	20567	42296	63732
759	5324	11442	21012	42296	64103
836	5389	11811	21308	45406	64893
860	5565	12559	23063	46653	71043
968	5623	12559	24127	47596	74364
1056	6080	12791	25910	48296	75409
1726	6380	13121	26770	49171	76057
1846	6477	13486	27753	49416	81542
1872	6740	14708	28460	50145	82702
1986	7192	15251	28493	52042	84566
2311	7447	15261	29361	52489	88682
2366	7644	15277	30085	52875	
2608	7837	15806	32408	53321	
