26.9	32.9	45.2	42.6	27.4	31.0	58.0	57.9	31.2	34.8	84.0	86.8

30.8	42.3	50.1	43.4	32.5	44.8	59.3	53.2	39.7	56.4	93.9	87.7

18.0	16.4	19.0	18.9	20.2	20.3	24.0	24.1	25.1	26.8	33.7	33.8

1.52	2.84	2.88	2.80	1.47	2.48	4.14	3.10	2.17	3.94	4.39	3.88

1.00	0.70	0.57	0.48	0.27	0.30	0.24	0.17	0.27	0.25	0.25	0.17
	1.00	0.64	0.49	0.32	0.39	0.29	0.28	0.25	0.26	0.32	0.25
		1.00	0.68	0.27	0.38	0.40	0.36	0.19	0.22	0.31	0.28
			1.00	0.19	0.33	0.46	0.44	0.19	0.22	0.31	0.30
				1.00	0.50	0.34	0.29	0.36	0.31	0.30	0.24
					1.00	0.49	0.46	0.41	0.33	0.43	0.36
						1.00	0.69	0.25	0.25	0.36	0.34
							1.00	0.14	0.24	0.38	0.36
								1.00	0.80	0.60	0.50
									1.00	0.69	0.54
										1.00	0.76
											1.00
