30	343	423	529	687	787	870	917	885	827	651	394	326
40	354	425	530	665	779	849	901	891	852	704	443	348
50	368	425	517	640	778	837	888	886	850	720	464	350
60	375	428	509	636	761	822	870	877	839	728	483	371
80	385	431	498	610	719	789	843	851	929	731	520	392
100	396	435	496	585	696	761	811	831	820	740	597	403
150	412	435	472	557	644	717	768	792	789	740	601	446
200	423	435	468	551	630	701	750	762	759	720	626	461
250	453	456	492	584	652	666	701	719	708	677	628	540
300	502	496	548	571	614	616	639	654	644	616	586	556
400	430	427	463	472	509	500	521	525	512	499	465	459
500	334	329	361	373	411	396	417	417	399	385	354	355
700	179	186	212	227	270	254	257	272	248	225	204	209
850	93	123	139	177	208	206	207	218	211	154	128	128
